name,rating,total_reviews,price,buyers
"ECO PRODUCTS Compostable 10"" Paper Plates, Case of 500, Disposable White Molded Fiber, Round, Tree-Free, Stronger Than Paper & Styrofoam, Renewable Molded Natural Fibers",4.2,16,74,N/A
"Talking Tables Mermaid Party Decorations and Tableware 50pcs Bundle Includes Happy Birthday Reusable Bunting, 16 x Napkins, Cups, Paper Plates, Disposable Table cover Under the Sea-Themed",4.8,29,24,N/A
"Amscan Love and Leaves Square Metallic Plates, 7"" (8-Pack) - Dazzling & Elegant Party Plates, Perfect for Wedding, Dinner Party, or Holiday Celebration",4.7,18,7,N/A
"ECO PRODUCTS Vanguard Compostable Disposable Paper Plates, 6"" Square Eco-Friendly Plates, BPI-Certified, No-Added PFAS, White, Pack of 50",N/A,N/A,21,N/A
brheez Palm Leaf Plates 50 Pack - 9 Inch - Eco Friendly Compostable & Biodegradable Elegant Bamboo Look Disposable Party Plates are Heavy Duty and More Environmentally Friendly than Paper Plates,N/A,N/A,37,N/A
"SIMOND STORE Paper Plates 11 Inch - [Pack of 50] - 4 Compartment Disposable 100% Compostable Plates - Heavy Duty - Sugarcane Bagasse Fiber Biodegradable Plates for Party, BBQ, Wedding",5.0,1,32,N/A
"Party Dinnerware Eco Set - 100 Disposable 10"" Square Palm Leaf Plates, 100 Wood Forks, 100 Wood Knives",4.6,62,60,N/A
Solo 8PSC-2050 8.25 in Ivory Bagasse Plate (Case of 500),2.4,12,68,N/A
"Paper Plates, Compostable Heavy Duty Disposable 10 Inch Dinner Plate - (125-Pack)- (PFAS-Free) - (BPI Certified)-Eco-Friendly, Biodegradable Bagasse Natural Brown 10"""" in, BG-10P125",5.0,4,19,N/A
"Dtocs Palm Leaf Plates 7 Inch Square (100) | Bamboo Plates Disposable Look Cocktail Plates for Appetizers, Camping, Dessert, Mini Charcuterie Boards | Compostable Plates Alternate to 7"" Paper Plates",5.0,5,55,N/A
"Sophistiplate Beautiful NEW Wavy Eco-Friendly Compostable Dinner Plates - Made of Bamboo Wood Fiber, and Sugarcane- biodegradable - 9.5 In, Sturdy & Heavy Duty - Pack of 8, Color Sky Blue",4.1,3,16,N/A
Premium Paper Plates Disposable Large Heavy Duty 100% Compostable [100 Count] Oval 12.5x10x1 inch Deep White,4.7,124,22,N/A
"Biodegradable Bagasse Plates - 100pc Dinner Plates Disposable Round Plates, 7 and 10 Inch Combo Pack",4.3,33,10,N/A
"Upper Midland Products 250Ct Compostable Disposable Plates Set, 7 In Heavy Duty Paper Plates, Biodegradable Plates Super Eco Friendly Paper Plate",4.3,31,28,N/A
"100% Compostable Disposable Paper Plates [10"" 20 Pack], Bamboo Plates, Eco Friendly, Biodegradable, Sturdy Large Dinner Party Plates, Heavy-Duty, Unbleached by Earth's Natural Alternative",4.6,99,24,N/A
"[100 COUNT]Harvest Pack PFAS FREE 6.5-inch American Flag Patriotic Party Disposable Compostable Square Paper Plates, July Fourth Natural Bagasse Square Plates, From Eco-Friendly Sugarcane Plant Fibers",4.7,178,21,N/A
"Progressive International Prep Solutions Microwave Plates, 2 Piece Set, White",4.1,93,11,N/A
"Palm Leaf Plates - 6 Inch. Round Bamboo Like Disposable Plates, Eco Friendly Dinner Party Plates - Plastic and Wooden Plates Nice Compostable Alternative - Biodegradable Plates (25 Pack)",4.6,203,20,N/A
"Square Compostable Natural Palm Leaf Plates - Biodegradable, Disposable, Like Bamboo Plates - Eco Friendly Plates, Perfect for Parties, Weddings, and Events, 20 Pack - 10 Inch",4.3,69,15,N/A
Vibrant Birthday Cheer Multicolor Paper Dinner Plates,4.1,16,6,N/A
"BOOBAM ECONATURAL PRODUCTS Square Disposable Plates - Plant-Based Bagasse Compostable Serving Plates for Party, Birthday, Wedding, Dessert - Microwavable Eco-Conscious Dinnerware - 6 inches (50-Pack)",3.6,30,22,N/A
100% Compostable 9 Inch Paper Plates [150-Pack] Disposable Party Plates I Heavy Duty Eco-Friendly Dinner Plates I Biodegradable Unbleached Sugarcane Eco Plates - (Color - Nature),4.9,10,22,N/A
"Glad Compostable Paper Plates| 9-in Round Plates | Eco Plates, Sugarcane Disposable Plates, Compostable Microwavable & Freezer Safe, Eco-Friendly Plates| White Paper Plates, 20 Count - 6 Pack",4.6,216,29,N/A
Restaurantware Midori 6.3 x 4.7 Inch Square Palm Plates 100 Microwavable Palm Leaf Plates - Freezable Sustainable Areca Palm Leaf Plates Oven-Ready For Hot & Cold Foods,4.6,3,21,N/A
"300 8"" ECONLY Disposable party pack| Square Palm Leaf Plates100 + 200Cutlery(Forks,Knives) Better Than Bamboo or Wood Plates. Heavy Duty,100%Compostable,Biodegradable Eco Plates for BBQs Camping Party",N/A,N/A,67,N/A
"brheez Palm Leaf Bowls 6 Inch - 50 Count - Eco Friendly, Compostable & Biodegradable – Elegant Bamboo Look Disposable Bowls are Heavy Duty and More Environmentally Friendly than Paper Bowls",N/A,N/A,33,N/A
100% Compostable 10/3 CP Round Plates [125 Pack] Disposable Party Plates I Heavy Duty Eco-Friendly Dinner Plates Disposable I Biodegradable Unbleached Sugarcane Eco Plates - (Color - White),5.0,3,18,N/A
"Efavormart 25 Pack | 7"" Tropical Palm Leaf Mix Dessert Disposable Paper Plates - 300 GSM",4.5,30,5,N/A
"9 inch Round Disposable White Bagasse Dinner Plate, 100% Compostable Natural Sugarcane Fibers, Heavy Duty Leak-Proof Environmentaly Friendly, Biodegradable - 125 Count",4.5,104,29,N/A
"Rectangle Palm Leaf Plates Set | 50 Pack | Size - 9 x 6 inches | Ecofriendly Disposable Dinnerware | Heavy Duty Biodegradable Party Utensils for Wedding, Camping & More",4.3,122,29,N/A
Cakewalk (Party) 6481 Monstera Appetizer Disposable Plates,5.0,4,7,N/A
"Eco-Friendly Compostable Party Plates - Set of 50 Disposable Wooden Dessert Plates (7.5"" x 5.5"") for Events and Gatherings",4.2,102,24,N/A
"Dtocs Palm Leaf Plates 10 Inch Round 3 Compartment (Pack 25) | Bamboo Look Organic, Eco-Friendly, Biodegradable, Compostable Disposable Dinnerware Set For Camping, Birthday Party",5.0,3,34,N/A
"Dtocs Palm Leaf Plates 6 Inch Round (50) | Bamboo Plates Disposable Look Cocktail Plates for Appetizers, Dessert Plates, Mini Charcuterie Boards | Shallow Compostable Plates Alternate to Paper Plates",4.6,4,26,N/A
"Highmark Disposable 6 3/4in. Plates, Pack Of 125, 11579",5.0,1,14,N/A
PacknWood 210BCHIC180 - Square Disposable Dinner Plates - Heavy-Duty Plates - Microwaveable Sugarcane Compostable 100% Natural - Bio n Chic White Sugarcane Plate - 7 x 7in - 100 pcs,3.4,10,52,N/A
"POPMISOLER 125PCS Premium 9-Inch Paper Plates - Eco-Friendly, Sugarcane Plates,Recyclable Plates,Bamboo Bowls Disposable,Lightweight, and Durable - Perfect for Parties and Events (500)",N/A,N/A,55,N/A
"Biodegradable Paper Plates - 9 Inch Heavy Duty, Eco Friendly Disposable Plates Made with Sugarcane Bagasse. Strong, Durable and Microwave Safe - (100 Pack, Bulk) (100, 9 Inch)",4.6,6,21,N/A
"Sophistiplate Beautiful NEW Wavy Eco-Friendly Compostable Salad Plates - Made of Bamboo Wood Fiber, and Sugarcane- biodegradable - 7.5 In, Sturdy & Heavy Duty - Pack of 8, Color Blush",N/A,N/A,13,N/A
"Raj Eco Compostable Palm Leaf Plates Like Bamboo Plates Disposable - 10 and 7 Inch Square 50 Party Plates, Natural Wooden, Eco-Friendly, Fancy Biodegradable Dessert Appetizer Wedding Plates",3.0,2,55,N/A
"Hot Wheels Wild Racer Round Plates (9"", 6 Packs of 8) - Vibrant Multicolor Paper Party Plates - Ideal for Kids Birthday or Hot Wheels Themed Celebrations - 48 Pc.",N/A,N/A,36,N/A
"Disposable Palm Leaf 5""x7"" Oval Plates (25 pcs) | Wooden Bamboo Plate | Compostable Plates for Any Parties, Wedding Party, Charcuterie Plate | Alternative to Plastic & Paper Plates",4.5,6,16,N/A
"Efavormart 25 Pack | 7"" Green Leaf Decagon Dessert Paper Plates, Appetizer Plates, Disposable Party Plates",4.5,7,5,N/A
"10 Pcs Star Gold Paper Plates, 7 Inch Pentagram Disposable Paper Plates Dinnerware for Christmas Halloween Dinner Wedding Birthday Picnic Appetizers Fruit Dessert Decorations Tableware Supplies",3.0,5,9,N/A
"Sophistiplate Beautiful NEW Wavy Eco-Friendly Compostable Salad Plates - Made of Bamboo Wood Fiber, and Sugarcane- biodegradable - 7.5 In, Sturdy & Heavy Duty - Pack of 8, Color Berry",4.0,1,13,N/A
"Key West Metallic Square Paper Plates - 7"" (Pack of 8) - Stylish Tropical Tableware, Perfect for Luau, Tiki, Hawaiian, Pool, and Cocktail Parties",5.0,1,25,N/A
"Sophistiplate Beautiful NEW Wavy Eco-Friendly Compostable Dinner Plates - Made of Bamboo Wood Fiber, and Sugarcane- biodegradable - 9.5 In, Sturdy & Heavy Duty - Pack of 8, Color Blush",5.0,1,16,N/A
"ECO PRODUCTS Compostable 3 Compartment 10"" Paper Plates, Case of 500, Disposable White Molded Fiber, Round, Tree-Free, Stronger Than Paper & Styrofoam, Renewable Molded Natural Fibers",3.7,3,114,N/A
Chic Leaf Palm Leaf Plates Disposable Bamboo Plates Like 10 Inch Square Bulk Pack (100 ct),4.6,1296,47,100+
"Chic Leaf Palm Leaf Plates Disposable Bamboo Plates Like 10 Inch & 7 Inch Round Party Pack (48 pk) Compostable and Biodegradable - Better than Plastic, Paper and Wood Plates",4.5,432,41,200+
"100% Compostable Disposable Paper Plates Bulk [6"" 125 Pack], Bamboo Plates, Eco Friendly, Biodegradable, Sturdy Small Dessert Party Plates, Heavy-Duty, Unbleached by Earth's Natural Alternative",4.7,10635,11,200+
100% Compostable Paper Plates [9 in.] – 150 Disposable Plates Eco Friendly Sturdy Tree Free Liquid and Heat Resistant Alternative to Plastic or Paper Plates,4.6,385,36,1000
