name,rating,total_reviews,price,buyers
"EconoHome 12 Inch Compostable Paper Plates [50-Pack] - Eco-Conscious Disposable Tray Made of Bagasse or Sugarcane Fiber - Microwave, Refrigerator-Safe - Heavy Duty Paper Plates for Dinner",4.7,277,22,100+
"6 Inch Compostable Plates 100 Pack Heavy Duty Compostable Paper Plates, Eco-Friendly Sugarcane Bagasse Plates, Natural Brown, Ideal for Dinners, Events, and Weddings",4.6,197,13,100+
"SOL ECO Compostable Paper Plates, 400 PCS Heavy-Duty Compostable Plates, Party Paper Plates & bowls (10 inch & 20 oz) Forks, Knives, Spoons, Cups & Napkins for Party, 50 Guest",4.3,130,47,100+
"ECO SOUL 200 Pcs Compostable Dinnerware Set For 25 Guests, 25 Pcs Each Of Eco-Friendly Disposable Paper Plates Of 9"""" & 6"""", Cutlery, Napkins, 16 oz Bowls & 16 oz Cups For Party, Picnic & Gathering",4.8,59,23,50+
"Paper Plates 9 Inches, 100 Pack Disposable Plates For Party – 100% Compostable Plates, Water & Oil Proof Paper Plates, Microwavable Paper Plates Bulk - Brown",4.5,214,17,100+
"ECOLipak Paper Plates 10 Inch, 150 Pack 100% Compostable Plates Heavy Duty Disposable Biodegradable Plates Sugarcane Bagasse Eco Friendly Plates",4.7,36,18,100+
brheez Palm Leaf Party Plates 25 Ct 6 Inch Eco Friendly Compostable & Biodegradable – Elegant Bamboo Look Disposable Party Plates Heavy Duty Environmentally Friendlier than Paper Plates,4.5,1597,15,50+
"Disposable Compostable Paper Plates 6 Inch [125-Pack], Heavy Duty, Eco-Friendly made with Biodegradable Bagasse for Parties and Picinic, (Eco-White)",4.5,96,14,100+
"Paper Plates 6 inch, 50 Pack Small Paper Plates, Eco Friendly Disposable Plates Made of Sugarcane Fibers, 100% Compostable Paper Plates, Dessert Paper Plates, Brown",4.7,279,9,50+
"Paper Compostable Plates - 7 Inch Heavy Duty Paper Plates, 50-Pack of Biodegradable Plates from Sugarcane - Disposable Dessert Plates, Thick Paper Plates Bulk",4.6,298,6,50+
"ECO SOUL Compostable 8 Inch Palm Leaf Square Plates (200 Count) Like Bamboo Plates | Biodegradable | Eco-Friendly, Microwave & Oven Safe",4.5,1920,77,50+
"Small Paper Plates 6 inch, 200 Pack Disposable Paper Plates, Eco Friendly Compostable Dessert Plates, Sugarcane Biodegradable Plates, Brown Paper Plates Bulk",4.5,93,23,50+
